,id,nombre,url_link,url_site,DA,DF,DR,PA,UR,trust_flow,is_mine,is_offer,max_links,peffer_pvp,ppvp,visits_month,sponsored_mark,language,blog_topics,country,link_type,medioTematico,medioTipo,model
108,3163,Alucine,https://www.bolsamania.com/cine/,https://panel.teblogueo.com/medios,82.0,52.0,,51.0,,50.0,False,False,1.0,99.91,125.66,3300000.0,False,,,,,,,blogs.blog
109,3244,Blog de Javi Moya,https://javimoya.com,https://panel.teblogueo.com/medios,56.0,37.0,,51.0,,17.0,False,False,2.0,475.86,486.16,2100.0,False,,,,,,,blogs.blog
110,4011,allforfashiondesign,https://allforfashiondesign.com/,https://panel.teblogueo.com/medios,53.0,40.0,,51.0,,10.0,False,False,1.0,187.46,208.06,,False,,,,,,,blogs.blog
111,4349,Swagger Magazine,https://www.swaggermagazine.com/,https://panel.teblogueo.com/medios,61.0,42.0,,51.0,,25.0,False,False,1.0,202.91,259.56,,False,,,,,,,blogs.blog
112,4417,Android Ayuda,https://androidayuda.com,https://panel.teblogueo.com/medios,69.0,39.0,,51.0,,25.0,False,False,1.0,794.13,795.16,419600.0,False,,,,,,,blogs.blog
113,4989,Deco Tendency,https://www.decotendency.com/,https://panel.teblogueo.com/medios,28.0,37.0,,51.0,,21.0,False,False,1.0,218.36,238.96,4500.0,False,,,,,,,blogs.blog
114,5024,Il Faro Online,https://www.ilfaroonline.it/,https://panel.teblogueo.com/medios,50.0,32.0,,51.0,,35.0,False,False,1.0,238.96,259.56,243000.0,False,,,,,,,blogs.blog
115,5048,Todo Android,https://www.todoandroid.es,https://panel.teblogueo.com/medios,46.0,38.0,,51.0,,19.0,False,False,1.0,433.63,434.66,71600.0,False,,,,,,,blogs.blog
116,5079,Plus Es Más,https://www.plusesmas.com/,https://panel.teblogueo.com/medios,54.0,36.0,,51.0,,14.0,False,False,1.0,743.66,743.66,321000.0,False,,,,,,,blogs.blog
117,5336,California News Times,https://californianewstimes.com/,https://panel.teblogueo.com/medios,53.0,42.0,,51.0,,26.0,False,False,1.0,166.86,177.16,19500.0,True,,,,,,,blogs.blog
